epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.49131,0.77027,3.55838,1.19343,0.95,0.5681,0.78035,0.69093,0.44342,2.48801,0.8875,0.000296296,0.000296296,0.0706667
2,2.46074,0.80985,1.07205,1.19419,0.30847,0.70221,0.2901,0.20057,0.67148,19.3041,1.02975,0.000629523,0.000629523,0.0376666
3,3.46954,0.68509,0.95615,1.10665,0.39046,0.56153,0.43373,0.30811,0.72605,4.7056,1.04859,0.00096231,0.00096231,0.00466601
4,4.28906,0.73722,0.92883,1.10019,0.31947,0.55466,0.32701,0.23343,0.90385,6.81928,1.20149,0.000998474,0.000998474,0.000998474
5,5.09673,0.75116,0.91174,1.11752,0.37038,0.63543,0.44124,0.31747,0.71678,5.25898,1.09897,0.000997288,0.000997288,0.000997288
6,5.95616,0.7694,0.87917,1.11765,0.63427,0.70013,0.66248,0.50667,0.71634,2.48458,1.03452,0.000995765,0.000995765,0.000995765
7,6.74211,0.73862,0.75966,1.07815,0.70173,0.67234,0.69957,0.53982,0.67492,2.31495,1.02191,0.000993906,0.000993906,0.000993906
8,7.63636,0.74524,0.76762,1.11413,0.72282,0.59517,0.65771,0.4815,0.7687,1.77326,1.0543,0.000991711,0.000991711,0.000991711
9,8.45027,0.69327,0.71905,1.05469,0.58108,0.66278,0.66332,0.45431,0.82718,2.83487,1.20225,0.000989183,0.000989183,0.000989183
10,9.30199,0.64865,0.67164,1.0708,0.57655,0.55854,0.59816,0.40121,0.97744,2.26029,1.42881,0.000986323,0.000986323,0.000986323
11,10.0812,0.62699,0.66659,1.05955,0.56753,0.44108,0.5101,0.37511,1.01432,2.61889,1.39238,0.000983133,0.000983133,0.000983133
12,10.9091,0.67709,0.6943,1.09981,0.49008,0.6064,0.49502,0.30208,0.96632,3.52768,1.33619,0.000979616,0.000979616,0.000979616
13,11.6895,0.64626,0.66199,1.05719,0.49802,0.67443,0.48832,0.33509,0.91528,2.90003,1.17241,0.000975773,0.000975773,0.000975773
14,12.5369,0.63799,0.65747,1.04677,0.45634,0.71386,0.4692,0.31146,0.96407,1.926,1.20524,0.000971608,0.000971608,0.000971608
15,13.3025,0.66267,0.65398,1.08466,0.58045,0.76162,0.67785,0.48633,0.82017,1.37449,1.15721,0.000967122,0.000967122,0.000967122
16,14.1093,0.61759,0.63466,0.9958,0.78816,0.81651,0.84632,0.69037,0.64176,1.15538,1.01234,0.00096232,0.00096232,0.00096232
17,14.9048,0.649,0.64656,1.06303,0.81249,0.81486,0.84345,0.70255,0.60217,0.88934,0.99334,0.000957205,0.000957205,0.000957205
18,16.1042,0.61888,0.61484,1.04458,0.8775,0.76673,0.86111,0.72354,0.6004,0.79249,0.99126,0.00095178,0.00095178,0.00095178
19,17.239,0.63866,0.64551,1.03538,0.87097,0.73798,0.82685,0.67044,0.68525,1.15269,1.08487,0.000946048,0.000946048,0.000946048
20,18.0563,0.6104,0.58902,1.03804,0.81393,0.70161,0.80893,0.64953,0.68224,1.13696,1.07637,0.000940014,0.000940014,0.000940014
21,18.8982,0.61288,0.58591,1.00778,0.90245,0.76177,0.84964,0.67128,0.66603,0.82855,1.06154,0.000933683,0.000933683,0.000933683
22,19.7526,0.59052,0.55378,1.00482,0.89063,0.81777,0.86888,0.74411,0.51008,0.63192,0.94779,0.000927057,0.000927057,0.000927057
23,20.8788,0.54885,0.51469,0.97663,0.90661,0.78076,0.86962,0.75922,0.49402,0.62341,0.93185,0.000920142,0.000920142,0.000920142
24,22.0433,0.58578,0.53206,1.0011,0.97913,0.79093,0.87611,0.7438,0.51667,0.57339,0.93237,0.000912942,0.000912942,0.000912942
25,22.8177,0.58846,0.54174,1.03007,0.97039,0.80615,0.88427,0.74672,0.51996,0.53958,0.9471,0.000905463,0.000905463,0.000905463
26,23.6096,0.58659,0.53879,1.02344,0.88853,0.80376,0.86534,0.7556,0.50747,0.56028,0.94937,0.00089771,0.00089771,0.00089771
27,24.4913,0.55472,0.51852,1.01944,0.89456,0.86005,0.8905,0.79582,0.48908,0.5432,0.94404,0.000889687,0.000889687,0.000889687
28,26.0717,0.58223,0.54929,1.01839,0.9193,0.8408,0.87667,0.76999,0.51043,0.54584,0.95312,0.000881401,0.000881401,0.000881401
29,26.8743,0.51671,0.48756,0.96264,0.8498,0.87341,0.87992,0.77657,0.50331,0.58476,0.93693,0.000872857,0.000872857,0.000872857
30,27.6589,0.57196,0.55979,1.00745,0.92856,0.8299,0.90202,0.81354,0.47095,0.51165,0.91635,0.00086406,0.00086406,0.00086406
31,28.833,0.54576,0.50857,0.99168,0.94531,0.82946,0.8967,0.81614,0.45401,0.4773,0.90796,0.000855018,0.000855018,0.000855018
32,30.0375,0.53887,0.49876,0.98407,0.91212,0.84375,0.88573,0.79308,0.4539,0.51422,0.90435,0.000845736,0.000845736,0.000845736
33,30.8252,0.53128,0.4959,0.99305,0.95388,0.81476,0.8745,0.76624,0.4726,0.58277,0.91026,0.00083622,0.00083622,0.00083622
34,31.626,0.53137,0.493,0.97825,0.93575,0.80103,0.85872,0.7611,0.5016,0.59909,0.94623,0.000826477,0.000826477,0.000826477
35,32.4084,0.54019,0.4985,1.00175,0.90281,0.79909,0.87712,0.79063,0.47744,0.54805,0.92685,0.000816514,0.000816514,0.000816514
36,33.2034,0.55182,0.48098,0.99396,0.88289,0.84875,0.89017,0.81349,0.45293,0.52573,0.89582,0.000806337,0.000806337,0.000806337
37,34.0086,0.50937,0.47121,0.96277,0.91439,0.84767,0.89877,0.83143,0.4289,0.48556,0.87447,0.000795954,0.000795954,0.000795954
38,35.2159,0.49908,0.48847,0.96014,0.91022,0.86629,0.88551,0.7911,0.4562,0.48002,0.88369,0.000785371,0.000785371,0.000785371
39,35.9879,0.52777,0.46529,1.00148,0.89994,0.88919,0.85617,0.76515,0.45397,0.48048,0.90665,0.000774596,0.000774596,0.000774596
40,36.8858,0.54966,0.48554,1.01536,0.90601,0.85542,0.84986,0.74926,0.43784,0.48953,0.91737,0.000763637,0.000763637,0.000763637
41,37.6686,0.54978,0.47487,1.01541,0.91179,0.83866,0.86683,0.77423,0.46252,0.49458,0.92047,0.0007525,0.0007525,0.0007525
42,38.5771,0.51336,0.46595,0.97722,0.95783,0.79408,0.8967,0.79766,0.48304,0.46315,0.93588,0.000741194,0.000741194,0.000741194
43,39.4682,0.51339,0.45782,0.99332,0.93302,0.83933,0.8949,0.81733,0.45817,0.45062,0.92663,0.000729725,0.000729725,0.000729725
